Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_28,blue,Blue,fiber,Fiber,,0.347,0.253,1.221,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_29,blue,Blue,film,Non-Fiber,,0.581,0.099,0.631,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_3,clear,Transparent,fragment,Non-Fiber,,0.77,0.477,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_30,white,,not plastic,,crunchy,0.947,0.534,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_31,black,Black,fragment,Non-Fiber,,1.259,0.366,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_32,gray,Black,fiber,Fiber,,0.644,0.489,1.873,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_33,gray,Black,fiber,Fiber,,0.836,0.427,1.261,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_34,black,Black,fiber,Fiber,,0.645,0.243,1.251,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_35,orange,Yellow,fiber,Fiber,,1.486,0.438,1.891,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_36,gray,Black,fiber,Fiber,,0.662,0.253,0.901,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_37,gray,Black,fiber,Fiber,,1.587,0.28,1.948,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_38,orange,Yellow,fiber,Fiber,,1.182,0.393,1.947,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_39,blue,Blue,fiber,Fiber,,1.456,0.53,1.98,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_4,orange,Yellow,fragment,Non-Fiber,,0.873,0.495,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_40,gray,Black,fragment,Non-Fiber,,0.916,0.34,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_41,black,Black,fiber,Fiber,,0.867,0.117,1.591,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_42,green,Green,fragment,Non-Fiber,,0.521,0.361,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_43,black,Black,fragment,Non-Fiber,,0.431,0.314,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_44,white,White,fragment,Non-Fiber,,0.808,0.433,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_45,yellow,Yellow,fragment,Non-Fiber,,1.408,0.222,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_46,red,Red,fiber,Fiber,,0.308,0.253,1.333,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_47,yellow,Yellow,fragment,Non-Fiber,,0.716,0.367,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_48,black,Black,fiber,Fiber,,1.406,0.519,2.636,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_49,clear,Transparent,fragment,Non-Fiber,,0.679,0.343,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_5,white,White,fragment,Non-Fiber,,0.667,0.379,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_50,black,Black,fragment,Non-Fiber,,0.822,0.581,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_51,black,Black,fiber,Fiber,,0.947,0.101,1.116,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_52,gray,Black,fiber,Fiber,,0.52,0.314,1.284,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_53,white,White,foam,Non-Fiber,flat,0.916,0.715,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_54,gray,Black,fiber,Fiber,,0.954,0.394,1.313,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_55,gray,Black,fragment,Non-Fiber,,0.724,0.317,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_56,gray,Black,fragment,Non-Fiber,,1.553,0.467,0,,,,,,
